BW;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;1
BY;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1
BE;1;0;1;1;1;1;1;1;1;0;0;1;0;0;0;1;1
BB;1;0;1;1;1;1;1;1;1;0;0;1;1;0;0;1;1
HB;1;0;1;1;1;1;1;1;1;0;0;1;0;0;0;1;1
HH;1;0;1;1;1;1;1;1;1;0;0;1;0;0;0;1;1
HE;1;0;1;1;1;1;1;1;1;1;0;1;0;0;0;1;1
MV;1;0;1;1;1;1;1;1;1;0;0;1;1;0;0;1;1
NI;1;0;1;1;1;1;1;1;1;0;0;1;0;0;0;1;1
NW;1;0;1;1;1;1;1;1;1;1;0;1;0;1;0;1;1
RP;1;0;1;1;1;1;1;1;1;1;0;1;0;1;0;1;1
SL;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1
SN;1;0;1;1;1;1;1;1;1;0;0;1;1;0;1;1;1
ST;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;1
SH;1;0;1;1;1;1;1;1;1;0;0;1;0;0;0;1;1
TH;1;0;1;1;1;1;1;1;1;0;0;1;1;0;0;1;1
