BW;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
BY;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
BE;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
BB;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
BR;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
HH;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
HE;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
NI;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
MV;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
NW;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
RP;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
SL;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
SX;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
SA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
SH;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
TH;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
